tx_time,time,nsec,lora_length,,type,srcAddress,destaddr,length,seq,tx_checksum,,srcHop,destHop
2020/01/23 06:10:59,06:10:59,000681244,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,3,60323,,0,2
2020/01/23 06:11:05,06:11:05,000560482,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,4,60322,,0,2
2020/01/23 06:11:11,06:11:11,000563782,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,5,60321,,0,2
2020/01/23 06:11:17,06:11:17,000560049,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,6,60320,,0,2
2020/01/23 06:11:23,06:11:23,000570898,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,7,60319,,0,2
2020/01/23 06:11:29,06:11:29,000617160,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,8,60318,,0,2
2020/01/23 06:11:35,06:11:35,000738212,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,9,60317,,0,2
2020/01/23 06:11:41,06:11:41,000669937,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,10,60316,,0,2
2020/01/23 06:11:47,06:11:47,000635513,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,11,60315,,0,2
2020/01/23 06:11:53,06:11:53,000610875,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,12,60314,,0,2
2020/01/23 06:11:59,06:11:59,000753888,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,13,60313,,0,2
2020/01/23 06:12:05,06:12:05,000557991,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,14,60312,,0,2
2020/01/23 06:12:11,06:12:11,000554950,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,15,60311,,0,2
2020/01/23 06:12:17,06:12:17,000570289,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,16,60310,,0,2
2020/01/23 06:12:23,06:12:23,000548016,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,17,60309,,0,2
2020/01/23 06:12:29,06:12:29,000549745,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,18,60308,,0,2
2020/01/23 06:12:35,06:12:35,000681153,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,19,60307,,0,2
2020/01/23 06:12:41,06:12:41,000625626,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,20,60306,,0,2
