tx_time,time,nsec,lora_length,,type,srcAddress,destaddr,length,seq,tx_checksum,,srcHop,destHop
2020/02/04 20:52:15,20:52:15,000568591,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,1,12624,,0,3
2020/02/04 20:52:21,20:52:21,000572040,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,2,12623,,0,3
2020/02/04 20:52:27,20:52:27,000577291,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,3,12622,,0,3
2020/02/04 20:52:33,20:52:33,000570281,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,4,12621,,0,3
2020/02/04 20:52:39,20:52:39,000625700,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,5,12620,,0,3
2020/02/04 20:52:45,20:52:45,000627869,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,6,12619,,0,3
2020/02/04 20:52:51,20:52:51,000634289,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,7,12618,,0,3
2020/02/04 20:52:57,20:52:57,000630117,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,8,12617,,0,3
2020/02/04 20:53:03,20:53:03,000640092,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,9,12616,,0,3
2020/02/04 20:53:09,20:53:09,000614736,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,10,12615,,0,3
2020/02/04 20:53:15,20:53:15,000613215,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,11,12614,,0,3
2020/02/04 20:53:21,20:53:21,000614696,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,12,12613,,0,3
2020/02/04 20:53:27,20:53:27,000609961,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,13,12612,,0,3
2020/02/04 20:53:33,20:53:33,000618177,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,14,12611,,0,3
2020/02/04 20:53:39,20:53:39,000618093,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,15,12610,,0,3
2020/02/04 20:53:45,20:53:45,000617262,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,16,12609,,0,3
2020/02/04 20:53:51,20:53:51,000620164,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,17,12608,,0,3
2020/02/04 20:53:57,20:53:57,000613465,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,18,12607,,0,3
2020/02/04 20:54:03,20:54:03,000674873,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,19,12606,,0,3
2020/02/04 20:54:09,20:54:09,000625224,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,20,12605,,0,3
2020/02/04 20:54:15,20:54:15,000625609,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,21,12604,,0,3
2020/02/04 20:54:21,20:54:21,000616082,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,22,12347,,0,4
2020/02/04 20:54:27,20:54:27,000611539,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,23,12346,,0,4
2020/02/04 20:54:33,20:54:33,000621198,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,24,12345,,0,4
2020/02/04 20:54:39,20:54:39,000619018,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,25,12344,,0,4
2020/02/04 20:54:45,20:54:45,000622396,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,26,12343,,0,4
2020/02/04 20:54:51,20:54:51,000620445,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,27,12342,,0,4
2020/02/04 20:54:57,20:54:57,000621135,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,28,12341,,0,4
2020/02/04 20:55:03,20:55:03,000611810,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,29,12340,,0,4
2020/02/04 20:55:09,20:55:09,000620230,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,30,12339,,0,4
2020/02/04 20:55:15,20:55:15,000632125,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,31,12338,,0,4
2020/02/04 20:55:21,20:55:21,000751244,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,32,12849,,0,2
2020/02/04 20:55:27,20:55:27,000613475,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,33,12848,,0,2
2020/02/04 20:55:33,20:55:33,000613712,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,34,12847,,0,2
2020/02/04 20:55:39,20:55:39,000626799,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,35,12846,,0,2
2020/02/04 20:55:45,20:55:45,000614403,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,36,12845,,0,2
2020/02/04 20:55:51,20:55:51,000618139,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,37,12844,,0,2
2020/02/04 20:55:57,20:55:57,000610924,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,38,12843,,0,2
2020/02/04 20:56:03,20:56:03,000636559,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,39,12842,,0,2
2020/02/04 20:56:09,20:56:09,000626349,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,40,12841,,0,2
2020/02/04 20:56:15,20:56:15,000637479,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,41,12840,,0,2
2020/02/04 20:56:21,20:56:21,000645054,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,42,12839,,0,2
2020/02/04 20:56:27,20:56:27,000622929,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,43,12838,,0,2
2020/02/04 20:56:33,20:56:33,000636416,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,44,12837,,0,2
2020/02/04 20:56:39,20:56:39,000625307,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,45,12836,,0,2
2020/02/04 20:56:45,20:56:45,000646060,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,46,12835,,0,2
2020/02/04 20:56:51,20:56:51,000630291,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,47,12834,,0,2
2020/02/04 20:56:57,20:56:57,000614978,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,48,12833,,0,2
2020/02/04 20:57:03,20:57:03,000661320,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,49,12832,,0,2
2020/02/04 20:57:09,20:57:09,000641139,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,50,12831,,0,2
2020/02/04 20:57:15,20:57:15,000620582,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,51,12830,,0,2
2020/02/04 20:57:21,20:57:21,000609129,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,52,12829,,0,2
2020/02/04 20:57:27,20:57:27,000613184,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,53,12828,,0,2
2020/02/04 20:57:33,20:57:33,000618790,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,54,12827,,0,2
2020/02/04 20:57:39,20:57:39,000618656,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,55,12826,,0,2
2020/02/04 20:57:45,20:57:45,000615334,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,56,12825,,0,2
2020/02/04 20:57:51,20:57:51,000622157,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,57,12568,,0,3
2020/02/04 20:57:57,20:57:57,000620272,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,58,12567,,0,3
2020/02/04 20:58:03,20:58:03,000651344,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,59,12566,,0,3
2020/02/04 20:58:09,20:58:09,000666208,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,60,12565,,0,3
2020/02/04 20:58:15,20:58:15,000621582,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,61,12564,,0,3
2020/02/04 20:58:21,20:58:21,000635539,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,62,12819,,0,2
2020/02/04 20:58:27,20:58:27,000634383,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,63,12818,,0,2
2020/02/04 20:58:33,20:58:33,000630924,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,64,12817,,0,2
2020/02/04 20:58:39,20:58:39,000654070,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,65,12816,,0,2
2020/02/04 20:58:45,20:58:45,000620696,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,66,12815,,0,2
2020/02/04 20:58:51,20:58:51,000619811,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,67,12814,,0,2
2020/02/04 20:58:57,20:58:57,000613866,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,68,12813,,0,2
2020/02/04 20:59:03,20:59:03,000657754,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,69,12812,,0,2
2020/02/04 20:59:09,20:59:09,000641893,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,70,12811,,0,2
2020/02/04 20:59:15,20:59:15,000612690,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,71,12554,,0,3
2020/02/04 20:59:21,20:59:21,000635560,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,72,12809,,0,2
2020/02/04 20:59:27,20:59:27,000623787,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,73,12808,,0,2
2020/02/04 20:59:33,20:59:33,000619816,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,74,12807,,0,2
2020/02/04 20:59:39,20:59:39,000628493,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,75,12806,,0,2
2020/02/04 20:59:45,20:59:45,000620339,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,76,12805,,0,2
